txn_id,timestamp,customer_id,account_id,amount,currency,txn_type,counterparty,counterparty_country,channel
t013,2024-11-01 10:00,cust_003,acct_1003,500,USD,payment,Office Supplies Co,US,online
g_cust_008_old,2025-10-01 09:00,cust_008,acct_1008,800,USD,payment,Office Lease Co,AE,online
c_cust_015_sal_0,2026-02-01 07:00,cust_015,acct_1015,10247.4,USD,salary,Peterson-Bell Payroll,AU,online
c_cust_047_sal_0,2026-02-01 07:00,cust_047,acct_1047,4184.03,USD,salary,Davis and Sons Payroll,AU,online
c_cust_051_sal_0,2026-02-01 07:00,cust_051,acct_1051,4706.25,USD,salary,Stevenson-Wagner Payroll,SE,online
c_cust_060_sal_0,2026-02-01 07:00,cust_060,acct_1060,7395.29,USD,salary,Conrad LLC Payroll,PH,online
c_cust_067_sal_0,2026-02-01 07:00,cust_067,acct_1067,8957.74,USD,salary,"Williams, Fields and Miller Payroll",GB,online
c_cust_013_sal_0,2026-02-01 08:00,cust_013,acct_1013,2835.75,USD,salary,"Wilson, Parker and Cabrera Payroll",IN,online
c_cust_020_sal_0,2026-02-01 08:00,cust_020,acct_1020,3873.06,USD,salary,"Cooper, Baker and Poole Payroll",PH,online
c_cust_021_sal_0,2026-02-01 08:00,cust_021,acct_1021,6215.6,USD,salary,Fields-Austin Payroll,SG,online
c_cust_022_sal_0,2026-02-01 08:00,cust_022,acct_1022,8015.99,USD,salary,Miller-Garcia Payroll,US,online
c_cust_034_sal_0,2026-02-01 08:00,cust_034,acct_1034,5462.7,USD,salary,Smith Ltd Payroll,DE,online
c_cust_042_sal_0,2026-02-01 08:00,cust_042,acct_1042,4682.26,USD,salary,Stewart-Larsen Payroll,IN,online
c_cust_046_sal_0,2026-02-01 08:00,cust_046,acct_1046,5171.96,USD,salary,Richardson PLC Payroll,PH,online
c_cust_049_sal_0,2026-02-01 08:00,cust_049,acct_1049,3860.4,USD,salary,"King, Fields and Hale Payroll",FR,online
c_cust_059_sal_0,2026-02-01 08:00,cust_059,acct_1059,4489.77,USD,salary,Foster and Sons Payroll,AE,online
c_cust_020_shop_0_2,2026-02-01 09:00,cust_020,acct_1020,117.12,USD,payment,Corner Pharmacy,PH,mobile
c_cust_027_sal_0,2026-02-01 09:00,cust_027,acct_1027,3573.68,USD,salary,Schwartz Group Payroll,KE,online
c_cust_033_sal_0,2026-02-01 09:00,cust_033,acct_1033,5270.98,USD,salary,"Wells, Michael and Rodriguez Payroll",US,online
c_cust_037_sal_0,2026-02-01 09:00,cust_037,acct_1037,4285.99,USD,salary,Browning PLC Payroll,AU,online
c_cust_052_sal_0,2026-02-01 09:00,cust_052,acct_1052,6275.03,USD,salary,Rush and Sons Payroll,KE,online
c_cust_053_sal_0,2026-02-01 09:00,cust_053,acct_1053,8709.83,USD,salary,"Mcdonald, Collins and Swanson Payroll",KE,online
c_cust_054_sal_0,2026-02-01 09:00,cust_054,acct_1054,9513.75,USD,salary,"Wells, Watson and Calhoun Payroll",AE,online
c_cust_066_sal_0,2026-02-01 09:00,cust_066,acct_1066,3203.51,USD,salary,"Richardson, Gordon and White Payroll",KE,online
c_cust_039_sal_0,2026-02-01 10:00,cust_039,acct_1039,7139.46,USD,salary,Mendoza Ltd Payroll,NG,online
c_cust_063_sal_0,2026-02-01 10:00,cust_063,acct_1063,7591.85,USD,salary,"Andrade, Murray and Martin Payroll",AU,online
c_cust_044_shop_0_0,2026-02-01 12:00,cust_044,acct_1044,66.38,USD,payment,Grocery Mart,CA,mobile
c_cust_041_shop_0_3,2026-02-01 14:00,cust_041,acct_1041,78.08,USD,payment,Superstore Retail,US,mobile
c_cust_042_shop_0_0,2026-02-01 16:00,cust_042,acct_1042,87.33,USD,payment,Grocery Mart,IN,online
c_cust_045_sal_0,2026-02-02 07:00,cust_045,acct_1045,5598.62,USD,salary,Webb-Caldwell Payroll,NL,online
c_cust_023_sal_0,2026-02-02 08:00,cust_023,acct_1023,11952.61,USD,salary,"Cook, Owen and Bonilla Payroll",SG,online
c_cust_036_sal_0,2026-02-02 08:00,cust_036,acct_1036,8560.82,USD,salary,Soto-Miller Payroll,MX,online
c_cust_040_sal_0,2026-02-02 08:00,cust_040,acct_1040,9998.45,USD,salary,Carter-Black Payroll,NG,online
c_cust_061_sal_0,2026-02-02 08:00,cust_061,acct_1061,3925.66,USD,salary,Fuentes Group Payroll,JP,online
c_cust_018_sal_0,2026-02-02 09:00,cust_018,acct_1018,8793.53,USD,salary,Vaughn PLC Payroll,IN,online
c_cust_024_sal_0,2026-02-02 09:00,cust_024,acct_1024,6408.83,USD,salary,Dunn and Sons Payroll,GB,online
c_cust_028_sal_0,2026-02-02 09:00,cust_028,acct_1028,3554.11,USD,salary,Bowers-Prince Payroll,AE,online
c_cust_050_sal_0,2026-02-02 09:00,cust_050,acct_1050,11098.72,USD,salary,Yu Ltd Payroll,IT,online
c_cust_014_sal_0,2026-02-02 10:00,cust_014,acct_1014,3794.48,USD,salary,"Chan, Miller and Evans Payroll",NG,online
c_cust_016_sal_0,2026-02-02 10:00,cust_016,acct_1016,4375.45,USD,salary,Jackson-Wilson Payroll,GB,online
c_cust_029_sal_0,2026-02-02 10:00,cust_029,acct_1029,4765.68,USD,salary,Morgan-Gonzalez Payroll,CA,online
c_cust_031_sal_0,2026-02-02 10:00,cust_031,acct_1031,3130.91,USD,salary,Mays-Walters Payroll,SE,online
c_cust_065_sal_0,2026-02-02 10:00,cust_065,acct_1065,5656.35,USD,salary,Reyes Inc Payroll,MX,online
c_cust_042_cash_0,2026-02-02 11:00,cust_042,acct_1042,124.87,USD,cash_withdrawal,Self,IN,branch
c_cust_045_shop_0_3,2026-02-02 14:00,cust_045,acct_1045,52.61,USD,payment,Online Marketplace,NL,mobile
c_cust_067_shop_0_2,2026-02-02 14:00,cust_067,acct_1067,35.53,USD,payment,Grocery Mart,GB,online
c_cust_033_shop_0_0,2026-02-02 15:00,cust_033,acct_1033,146.38,USD,payment,Grocery Mart,US,mobile
c_cust_017_shop_0_0,2026-02-02 19:00,cust_017,acct_1017,62.13,USD,payment,Superstore Retail,BR,online
c_cust_018_shop_0_0,2026-02-02 20:00,cust_018,acct_1018,70.78,USD,payment,Corner Pharmacy,IN,mobile
c_cust_021_shop_0_3,2026-02-02 21:00,cust_021,acct_1021,32.31,USD,payment,Home Goods Co,SG,online
c_cust_026_sal_0,2026-02-03 07:00,cust_026,acct_1026,10102.95,USD,salary,Nguyen PLC Payroll,DE,online
c_cust_038_sal_0,2026-02-03 07:00,cust_038,acct_1038,7536.01,USD,salary,"Sanchez, Baker and Bryant Payroll",KE,online
c_cust_056_sal_0,2026-02-03 07:00,cust_056,acct_1056,2658.95,USD,salary,Mcintyre-Briggs Payroll,FR,online
c_cust_058_sal_0,2026-02-03 07:00,cust_058,acct_1058,6171.69,USD,salary,"Young, Ryan and Ayala Payroll",KE,online
c_cust_041_sal_0,2026-02-03 08:00,cust_041,acct_1041,3090.94,USD,salary,Thomas PLC Payroll,US,online
c_cust_048_sal_0,2026-02-03 08:00,cust_048,acct_1048,9005.1,USD,salary,Compton-Wright Payroll,SE,online
c_cust_017_sal_0,2026-02-03 09:00,cust_017,acct_1017,8479.74,USD,salary,Mccarthy-Downs Payroll,BR,online
c_cust_019_sal_0,2026-02-03 09:00,cust_019,acct_1019,10513.83,USD,salary,Knight PLC Payroll,IN,online
c_cust_030_sal_0,2026-02-03 09:00,cust_030,acct_1030,7334.84,USD,salary,Nelson-Bullock Payroll,IT,online
c_cust_035_sal_0,2026-02-03 09:00,cust_035,acct_1035,5760.68,USD,salary,"Morris, Johnson and Khan Payroll",DE,online
c_cust_044_sal_0,2026-02-03 09:00,cust_044,acct_1044,3105.41,USD,salary,"Miller, Mahoney and Jenkins Payroll",CA,online
c_cust_055_sal_0,2026-02-03 09:00,cust_055,acct_1055,10616.54,USD,salary,Nelson-Rosario Payroll,MX,online
c_cust_014_rent_0,2026-02-03 10:00,cust_014,acct_1014,952.24,USD,payment,City Rentals,NG,online
c_cust_025_sal_0,2026-02-03 10:00,cust_025,acct_1025,5455.8,USD,salary,Flowers-Brown Payroll,GB,online
c_cust_032_sal_0,2026-02-03 10:00,cust_032,acct_1032,4681.1,USD,salary,Green and Sons Payroll,AE,online
c_cust_043_sal_0,2026-02-03 10:00,cust_043,acct_1043,5661.31,USD,salary,Garcia-Davenport Payroll,AE,online
c_cust_056_rent_0,2026-02-03 10:00,cust_056,acct_1056,657.51,USD,payment,Home Realty Trust,FR,online
c_cust_057_sal_0,2026-02-03 10:00,cust_057,acct_1057,5830.56,USD,salary,Wright Inc Payroll,IN,online
c_cust_062_sal_0,2026-02-03 10:00,cust_062,acct_1062,2801.72,USD,salary,Mcneil-Contreras Payroll,GB,online
c_cust_064_sal_0,2026-02-03 10:00,cust_064,acct_1064,2649.16,USD,salary,Turner Inc Payroll,NL,online
c_cust_066_rent_0,2026-02-03 10:00,cust_066,acct_1066,1094.18,USD,payment,Metro Landlord LLC,KE,online
c_cust_030_rent_0,2026-02-03 11:00,cust_030,acct_1030,2305.03,USD,payment,City Rentals,IT,online
c_cust_035_rent_0,2026-02-03 12:00,cust_035,acct_1035,1640.36,USD,payment,Home Realty Trust,DE,online
c_cust_059_cash_0,2026-02-03 13:00,cust_059,acct_1059,99.19,USD,cash_withdrawal,Self,AE,branch
c_cust_017_rent_0,2026-02-03 14:00,cust_017,acct_1017,1998.66,USD,payment,Home Realty Trust,BR,online
c_cust_046_rent_0,2026-02-03 14:00,cust_046,acct_1046,1534.37,USD,payment,Metro Landlord LLC,PH,online
c_cust_031_rent_0,2026-02-03 15:00,cust_031,acct_1031,763.04,USD,payment,Home Realty Trust,SE,online
c_cust_016_shop_0_2,2026-02-03 16:00,cust_016,acct_1016,61.02,USD,payment,Superstore Retail,GB,online
c_cust_025_rent_0,2026-02-03 16:00,cust_025,acct_1025,1551.36,USD,payment,Home Realty Trust,GB,online
c_cust_049_rent_0,2026-02-03 16:00,cust_049,acct_1049,1085.57,USD,payment,Home Realty Trust,FR,online
c_cust_065_shop_0_0,2026-02-03 16:00,cust_065,acct_1065,144.73,USD,payment,Corner Pharmacy,MX,mobile
c_cust_066_cash_0,2026-02-03 16:00,cust_066,acct_1066,388.05,USD,cash_withdrawal,Self,KE,branch
c_cust_022_rent_0,2026-02-03 17:00,cust_022,acct_1022,2524.4,USD,payment,Parkview Apartments,US,online
c_cust_013_shop_0_0,2026-02-03 18:00,cust_013,acct_1013,24.83,USD,payment,Superstore Retail,IN,mobile
c_cust_016_rent_0,2026-02-03 18:00,cust_016,acct_1016,997.95,USD,payment,Home Realty Trust,GB,online
c_cust_020_rent_0,2026-02-03 18:00,cust_020,acct_1020,924.66,USD,payment,Parkview Apartments,PH,online
c_cust_021_rent_0,2026-02-03 18:00,cust_021,acct_1021,1872.82,USD,payment,Metro Landlord LLC,SG,online
c_cust_023_rent_0,2026-02-03 18:00,cust_023,acct_1023,3458.98,USD,payment,Parkview Apartments,SG,online
c_cust_048_rent_0,2026-02-03 18:00,cust_048,acct_1048,3242.95,USD,payment,Metro Landlord LLC,SE,online
c_cust_036_rent_0,2026-02-03 19:00,cust_036,acct_1036,2582.49,USD,payment,Parkview Apartments,MX,online
c_cust_015_rent_0,2026-02-03 20:00,cust_015,acct_1015,3132.03,USD,payment,City Rentals,AU,online
c_cust_066_shop_0_2,2026-02-03 21:00,cust_066,acct_1066,28.7,USD,payment,Superstore Retail,KE,online
c_cust_037_shop_0_0,2026-02-04 09:00,cust_037,acct_1037,32.45,USD,payment,Grocery Mart,AU,mobile
c_cust_044_shop_0_1,2026-02-04 10:00,cust_044,acct_1044,111.73,USD,payment,Superstore Retail,CA,mobile
c_cust_061_rent_0,2026-02-04 10:00,cust_061,acct_1061,1167.2,USD,payment,Parkview Apartments,JP,online
c_cust_023_shop_0_3,2026-02-04 12:00,cust_023,acct_1023,65.08,USD,payment,Corner Pharmacy,SG,online
c_cust_033_rent_0,2026-02-04 13:00,cust_033,acct_1033,1744.48,USD,payment,Parkview Apartments,US,online
c_cust_058_rent_0,2026-02-04 13:00,cust_058,acct_1058,1446.69,USD,payment,Metro Landlord LLC,KE,online
c_cust_063_rent_0,2026-02-04 13:00,cust_063,acct_1063,1892.15,USD,payment,Home Realty Trust,AU,online
c_cust_038_rent_0,2026-02-04 14:00,cust_038,acct_1038,2138.24,USD,payment,Parkview Apartments,KE,online
c_cust_054_shop_0_0,2026-02-04 14:00,cust_054,acct_1054,98.95,USD,payment,Home Goods Co,AE,mobile
c_cust_018_rent_0,2026-02-04 15:00,cust_018,acct_1018,2053.01,USD,payment,Home Realty Trust,IN,online
c_cust_013_rent_0,2026-02-04 16:00,cust_013,acct_1013,644.26,USD,payment,City Rentals,IN,online
c_cust_034_rent_0,2026-02-04 16:00,cust_034,acct_1034,2025.75,USD,payment,Parkview Apartments,DE,online
c_cust_042_shop_0_2,2026-02-04 16:00,cust_042,acct_1042,94.12,USD,payment,Superstore Retail,IN,online
c_cust_047_shop_0_1,2026-02-04 16:00,cust_047,acct_1047,41.73,USD,payment,Superstore Retail,AU,online
